"project_name","epoch_time_to_remove"
"Log4j",76160
"Log4j",5433
"Log4j",52290730
"Log4j",52290730
"Log4j",23757566
"Log4j",79180991
"Log4j",5035269
"Log4j",20391
"Log4j",23569859
"Log4j",598383
"Log4j",595712
"Log4j",5035269
"Log4j",5035269
"Log4j",1645978
"Log4j",24180290
"Log4j",410349
"Log4j",1292589
"Log4j",154507
"Log4j",79180991
"Log4j",23570098
"Log4j",3512069
"Log4j",6400138
"Log4j",678431
"Log4j",39697635
"Log4j",87301
"Log4j",8422516
"Log4j",9011122
"Log4j",30382141
"Log4j",14907322
"Log4j",1751911
"Log4j",947169
"Log4j",14907322
"Log4j",20885205
"Log4j",49963366
"Log4j",508560
"Log4j",46595644
"Log4j",14957235
"Log4j",48665999
"Log4j",48665999
"Log4j",18499
"Log4j",415782
"Log4j",2329512
"Log4j",263326
"Log4j",67492
"Log4j",154507
"Log4j",46521842
"Log4j",5035269
"Log4j",5881477
"Log4j",5035269
"Log4j",5035269
"Log4j",5881477
"Log4j",595712
"Log4j",52290730
"Log4j",14907322
"Log4j",36847997
"Log4j",508560
"Log4j",52591
"Log4j",6280117
"Log4j",5373996
"Log4j",37113166
"Log4j",5373996
"Log4j",422735
"Log4j",23669651
"Log4j",23857586
"Log4j",37280149
"Log4j",36915774
"Log4j",14957235
"Log4j",52290730
"Log4j",46242018
"Log4j",154507
"Log4j",23688224
"Log4j",20391
